Country,date,n.first_dose,n.second_dose,first_dose,second_dose,n.first_dose_perc,n.second_dose_perc,first_dose_perc,second_dose_perc,age_group,Poblacion
Italy,2021-04-07,5629,1822,462594,244424,0.000932519484090926,0.000301838781313496,0.0766349117469458,0.040492119804484,20-29,6036335
Italy,2021-04-08,5284,1889,467878,246313,0.000875365598496439,0.000312938231559382,0.0775102773454422,0.0408050580360434,20-29,6036335
Italy,2021-04-09,5957,2022,473835,248335,0.000986857091264815,0.000334971468614648,0.078497134436707,0.041140029504658,20-29,6036335
Italy,2021-04-10,4840,1207,478675,249542,0.000801811032687881,0.000199955767862453,0.0792989454693949,0.0413399852725205,20-29,6036335
Italy,2021-04-11,3493,998,482168,250540,0.000578662383714622,0.000165332109632749,0.0798776078531095,0.0415053173821532,20-29,6036335
Italy,2021-04-12,3581,1191,485749,251731,0.000593240766127129,0.000197305152878361,0.0804708486192367,0.0417026225350316,20-29,6036335
Italy,2021-04-13,3225,1332,488974,253063,0.000534264582731078,0.000220663697425673,0.0810051132019678,0.0419232862324573,20-29,6036335
Italy,2021-04-14,3132,1766,492106,254829,0.000518857883136042,0.000292561628869173,0.0815239710851038,0.0422158478613264,20-29,6036335
Italy,2021-04-15,3971,2057,496077,256886,0.000657849506364375,0.000340769688892349,0.0821818205914682,0.0425566175502188,20-29,6036335
Italy,2021-04-16,5158,2057,501235,258943,0.000854492005496713,0.000340769688892349,0.0830363125969649,0.0428973872391111,20-29,6036335
Italy,2021-04-17,4281,1855,505516,260798,0.000709205171681161,0.000307305674718186,0.083745517768646,0.0432046929138293,20-29,6036335
Italy,2021-04-18,2867,1001,508383,261799,0.000474957072462015,0.000165829099942266,0.0842204748411081,0.0433705220137716,20-29,6036335
Italy,2021-04-19,3332,1919,511715,263718,0.000551990570437194,0.000317908134654554,0.0847724654115452,0.0436884301484262,20-29,6036335
Italy,2021-04-20,3499,1700,515214,265418,0.000579656364333656,0.000281627842059793,0.0853521217758789,0.043970057990486,20-29,6036335
Italy,2021-04-21,3521,1952,518735,267370,0.000583300959936783,0.000323375028059245,0.0859354227358157,0.0442934330185452,20-29,6036335
Italy,2021-04-22,4264,2460,522999,269830,0.000706388893260563,0.000407532053804171,0.0866418116290762,0.0447009650723494,20-29,6036335
Italy,2021-04-23,4546,2661,527545,272491,0.000753105982355187,0.000440830404541829,0.0873949176114314,0.0451417954768912,20-29,6036335
